    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.500000+    2+   1+0.500000 
    3+   1+0.333333+    3+   1+0.333333 
    4+   1+0.250000+    4+   1+0.250000 
    5+   1+0.200000+    5+   1+0.200000 
    6+   1+0.166667+    6+   1+0.166667 
    7+   1+0.142857+    6+   1+0.166667 
    8+   1+0.125000+    6+   1+0.166667 
    9+   1+0.111111+    6+   1+0.166667 
   10+   1+0.100000+    6+   1+0.166667 
   11+   1+0.090909+    6+   1+0.166667 
   12+   2+0.166667+    6+   1+0.166667 
   13+   2+0.153846+    6+   1+0.166667 
   14+   2+0.142857+    6+   1+0.166667 
   15+   2+0.133333+    6+   1+0.166667 
   16+   2+0.125000+    6+   1+0.166667 
   17+   2+0.117647+    6+   1+0.166667 
   18+   2+0.111111+    6+   1+0.166667 
   19+   2+0.105263+    6+   1+0.166667 
   20+   2+0.100000+    6+   1+0.166667 
   21+   2+0.095238+    6+   1+0.166667 
   22+   2+0.090909+    6+   1+0.166667 
   23+   2+0.086957+    6+   1+0.166667 
   24+   2+0.083333+    6+   1+0.166667 
   25+   2+0.080000+    6+   1+0.166667 
   26+   2+0.076923+    6+   1+0.166667 
   27+   2+0.074074+    6+   1+0.166667 
   28+   2+0.071429+    6+   1+0.166667 
   29+   2+0.068966+    6+   1+0.166667 
   30+   2+0.066667+    6+   1+0.166667 
   31+   2+0.064516+    6+   1+0.166667 
   32+   2+0.062500+    6+   1+0.166667 
   33+   2+0.060606+    6+   1+0.166667 
   34+   2+0.058824+    6+   1+0.166667 
   35+   2+0.057143+    6+   1+0.166667 
   36+   2+0.055556+    6+   1+0.166667 
   37+   2+0.054054+    6+   1+0.166667 
   38+   2+0.052632+    6+   1+0.166667 
   39+   2+0.051282+    6+   1+0.166667 
   40+   2+0.050000+    6+   1+0.166667 
   41+   2+0.048780+    6+   1+0.166667 
   42+   2+0.047619+    6+   1+0.166667 
   43+   2+0.046512+    6+   1+0.166667 
   44+   2+0.045455+    6+   1+0.166667 
   45+   2+0.044444+    6+   1+0.166667 
   46+   2+0.043478+    6+   1+0.166667 
   47+   2+0.042553+    6+   1+0.166667 
   48+   2+0.041667+    6+   1+0.166667 
   49+   2+0.040816+    6+   1+0.166667 
   50+   2+0.040000+    6+   1+0.166667 
   51+   2+0.039216+    6+   1+0.166667 
   52+   2+0.038462+    6+   1+0.166667 
   53+   2+0.037736+    6+   1+0.166667 
   54+   2+0.037037+    6+   1+0.166667 
   54+   2+0.037037+    6+   1+0.166667 
   54+   2+0.037037+    6+   1+0.166667 
