    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.500000+    2+   1+0.500000 
    3+   1+0.333333+    3+   1+0.333333 
    4+   1+0.250000+    4+   1+0.250000 
    5+   1+0.200000+    5+   1+0.200000 
    6+   1+0.166667+    6+   1+0.166667 
    7+   1+0.142857+    7+   1+0.142857 
    8+   1+0.125000+    7+   1+0.142857 
    9+   1+0.111111+    7+   1+0.142857 
   10+   1+0.100000+    7+   1+0.142857 
   11+   1+0.090909+    7+   1+0.142857 
   12+   1+0.083333+    7+   1+0.142857 
   13+   1+0.076923+    7+   1+0.142857 
   14+   1+0.071429+    7+   1+0.142857 
   15+   1+0.066667+    7+   1+0.142857 
   16+   1+0.062500+    7+   1+0.142857 
   17+   1+0.058824+    7+   1+0.142857 
   18+   1+0.055556+    7+   1+0.142857 
   19+   1+0.052632+    7+   1+0.142857 
   20+   1+0.050000+    7+   1+0.142857 
   21+   1+0.047619+    7+   1+0.142857 
   22+   1+0.045455+    7+   1+0.142857 
   23+   1+0.043478+    7+   1+0.142857 
   24+   1+0.041667+    7+   1+0.142857 
   25+   1+0.040000+    7+   1+0.142857 
   26+   1+0.038462+    7+   1+0.142857 
   27+   1+0.037037+    7+   1+0.142857 
   28+   1+0.035714+    7+   1+0.142857 
   29+   1+0.034483+    7+   1+0.142857 
   30+   1+0.033333+    7+   1+0.142857 
   31+   1+0.032258+    7+   1+0.142857 
   32+   2+0.062500+    7+   1+0.142857 
   33+   2+0.060606+    7+   1+0.142857 
   34+   2+0.058824+    7+   1+0.142857 
   35+   2+0.057143+    7+   1+0.142857 
   36+   2+0.055556+    7+   1+0.142857 
   37+   2+0.054054+    7+   1+0.142857 
   38+   2+0.052632+    7+   1+0.142857 
   39+   2+0.051282+    7+   1+0.142857 
   40+   2+0.050000+    7+   1+0.142857 
   41+   2+0.048780+    7+   1+0.142857 
   42+   2+0.047619+    7+   1+0.142857 
   43+   2+0.046512+    7+   1+0.142857 
   44+   2+0.045455+    7+   1+0.142857 
   45+   2+0.044444+    7+   1+0.142857 
   46+   2+0.043478+    7+   1+0.142857 
   47+   2+0.042553+    7+   1+0.142857 
   48+   2+0.041667+    7+   1+0.142857 
   49+   2+0.040816+    7+   1+0.142857 
   50+   2+0.040000+    7+   1+0.142857 
   51+   2+0.039216+    7+   1+0.142857 
   52+   2+0.038462+    7+   1+0.142857 
