    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.500000+    2+   1+0.500000 
    3+   1+0.333333+    3+   1+0.333333 
    4+   1+0.250000+    4+   1+0.250000 
    5+   1+0.200000+    5+   1+0.200000 
    6+   1+0.166667+    6+   1+0.166667 
    7+   1+0.142857+    6+   1+0.166667 
    8+   1+0.125000+    6+   1+0.166667 
    9+   1+0.111111+    6+   1+0.166667 
   10+   1+0.100000+    6+   1+0.166667 
   11+   2+0.181818+    6+   1+0.166667 
   12+   2+0.166667+    6+   1+0.166667 
   13+   2+0.153846+    6+   1+0.166667 
   14+   2+0.142857+    6+   1+0.166667 
   15+   2+0.133333+    6+   1+0.166667 
   16+   2+0.125000+    6+   1+0.166667 
   17+   2+0.117647+    6+   1+0.166667 
   18+   2+0.111111+    6+   1+0.166667 
   19+   2+0.105263+    6+   1+0.166667 
   20+   2+0.100000+    6+   1+0.166667 
   21+   2+0.095238+    6+   1+0.166667 
   22+   2+0.090909+    6+   1+0.166667 
   23+   2+0.086957+    6+   1+0.166667 
   24+   2+0.083333+    6+   1+0.166667 
   25+   2+0.080000+    6+   1+0.166667 
   26+   2+0.076923+    6+   1+0.166667 
   27+   2+0.074074+    6+   1+0.166667 
   28+   2+0.071429+    6+   1+0.166667 
   29+   2+0.068966+    6+   1+0.166667 
   30+   2+0.066667+    6+   1+0.166667 
   31+   2+0.064516+    6+   1+0.166667 
   32+   2+0.062500+    6+   1+0.166667 
   33+   2+0.060606+    6+   1+0.166667 
   34+   2+0.058824+    6+   1+0.166667 
   35+   2+0.057143+    6+   1+0.166667 
   36+   2+0.055556+    6+   1+0.166667 
   37+   2+0.054054+    6+   1+0.166667 
   38+   2+0.052632+    6+   1+0.166667 
   39+   2+0.051282+    6+   1+0.166667 
   40+   2+0.050000+    6+   1+0.166667 
   41+   2+0.048780+    6+   1+0.166667 
   42+   2+0.047619+    6+   1+0.166667 
   43+   2+0.046512+    6+   1+0.166667 
   44+   3+0.068182+    6+   1+0.166667 
   45+   3+0.066667+    6+   1+0.166667 
   46+   3+0.065217+    6+   1+0.166667 
   47+   3+0.063830+    6+   1+0.166667 
   48+   3+0.062500+    6+   1+0.166667 
   49+   3+0.061224+    6+   1+0.166667 
   50+   3+0.060000+    6+   1+0.166667 
   51+   3+0.058824+    6+   1+0.166667 
   52+   3+0.057692+    6+   1+0.166667 
   53+   3+0.056604+    6+   1+0.166667 
   54+   3+0.055556+    6+   1+0.166667 
   55+   3+0.054545+    6+   1+0.166667 
   56+   3+0.053571+    6+   1+0.166667 
   57+   3+0.052632+    6+   1+0.166667 
   58+   3+0.051724+    6+   1+0.166667 
   59+   3+0.050847+    6+   1+0.166667 
   60+   3+0.050000+    6+   1+0.166667 
   61+   3+0.049180+    6+   1+0.166667 
   62+   3+0.048387+    6+   1+0.166667 
   63+   3+0.047619+    6+   1+0.166667 
   64+   3+0.046875+    6+   1+0.166667 
   65+   3+0.046154+    6+   1+0.166667 
   66+   3+0.045455+    6+   1+0.166667 
   67+   3+0.044776+    6+   1+0.166667 
   68+   3+0.044118+    6+   1+0.166667 
   69+   3+0.043478+    6+   1+0.166667 
   70+   3+0.042857+    6+   1+0.166667 
   71+   3+0.042254+    6+   1+0.166667 
   72+   3+0.041667+    6+   1+0.166667 
   73+   3+0.041096+    6+   1+0.166667 
   74+   3+0.040541+    6+   1+0.166667 
   75+   3+0.040000+    6+   1+0.166667 
   76+   3+0.039474+    6+   1+0.166667 
   77+   3+0.038961+    6+   1+0.166667 
   78+   3+0.038462+    6+   1+0.166667 
   79+   3+0.037975+    6+   1+0.166667 
   80+   3+0.037500+    6+   1+0.166667 
   80+   3+0.037500+    6+   1+0.166667 
   80+   3+0.037500+    6+   1+0.166667 
