    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.000000+    2+   1+0.000000 
    3+   1+0.000000+    3+   1+0.000000 
    4+   1+0.000000+    4+   1+0.000000 
    5+   1+0.000000+    5+   1+0.000000 
    6+   1+0.000000+    6+   1+0.000000 
    7+   1+0.000000+    7+   1+0.000000 
    8+   1+0.000000+    8+   1+0.000000 
    9+   1+0.000000+    9+   1+0.000000 
   10+   1+0.000000+   10+   1+0.000000 
   11+   1+0.000000+   11+   1+0.000000 
   12+   1+0.000000+   12+   1+0.000000 
   13+   1+0.000000+   13+   1+0.000000 
   14+   1+0.000000+   14+   1+0.000000 
   15+   2+0.000000+   15+   1+0.000000 
   16+   2+0.000000+   16+   1+0.000000 
   17+   2+0.000000+   17+   1+0.000000 
   18+   2+0.000000+   18+   1+0.000000 
   19+   2+0.000000+   18+   1+0.000000 
   20+   2+0.000000+   18+   1+0.000000 
   21+   2+0.000000+   18+   1+0.000000 
   22+   2+0.000000+   18+   1+0.000000 
   23+   2+0.000000+   18+   1+0.000000 
   24+   2+0.000000+   18+   1+0.000000 
   25+   2+0.000000+   18+   1+0.000000 
   26+   2+0.000000+   18+   1+0.000000 
   27+   2+0.000000+   18+   1+0.000000 
   28+   2+0.000000+   18+   1+0.000000 
   29+   2+0.000000+   18+   1+0.000000 
   30+   2+0.000000+   18+   1+0.000000 
   31+   2+0.000000+   18+   1+0.000000 
   32+   2+0.000000+   18+   1+0.000000 
   33+   2+0.000000+   18+   1+0.000000 
   34+   2+0.000000+   18+   1+0.000000 
   35+   2+0.000000+   18+   1+0.000000 
   36+   2+0.000000+   18+   1+0.000000 
   37+   2+0.000000+   18+   1+0.000000 
   38+   2+0.000000+   18+   1+0.000000 
   39+   2+0.000000+   18+   1+0.000000 
   40+   2+0.000000+   18+   1+0.000000 
   41+   2+0.000000+   18+   1+0.000000 
   42+   2+0.000000+   18+   1+0.000000 
   43+   2+0.000000+   18+   1+0.000000 
   44+   2+0.000000+   18+   1+0.000000 
   45+   2+0.000000+   18+   1+0.000000 
   46+   2+0.000000+   18+   1+0.000000 
   47+   2+0.000000+   18+   1+0.000000 
   48+   2+0.000000+   18+   1+0.000000 
   49+   2+0.000000+   18+   1+0.000000 
   50+   2+0.000000+   18+   1+0.000000 
   51+   2+0.000000+   18+   1+0.000000 
   52+   2+0.000000+   18+   1+0.000000 
   53+   2+0.000000+   18+   1+0.000000 
   54+   2+0.000000+   18+   1+0.000000 
   55+   2+0.000000+   18+   1+0.000000 
   56+   2+0.000000+   18+   1+0.000000 
   57+   2+0.000000+   18+   1+0.000000 
   58+   2+0.000000+   18+   1+0.000000 
   59+   2+0.000000+   18+   1+0.000000 
   60+   2+0.000000+   18+   1+0.000000 
   61+   2+0.000000+   18+   1+0.000000 
   62+   2+0.000000+   18+   1+0.000000 
   63+   3+0.000000+   18+   1+0.000000 
   64+   3+0.000000+   18+   1+0.000000 
   65+   3+0.000000+   18+   1+0.000000 
   66+   3+0.000000+   18+   1+0.000000 
   67+   3+0.000000+   18+   1+0.000000 
   68+   3+0.000000+   18+   1+0.000000 
   69+   3+0.000000+   18+   1+0.000000 
   70+   3+0.000000+   18+   1+0.000000 
   71+   3+0.000000+   18+   1+0.000000 
   72+   3+0.000000+   18+   1+0.000000 
   73+   3+0.000000+   18+   1+0.000000 
   74+   3+0.000000+   18+   1+0.000000 
   75+   3+0.000000+   18+   1+0.000000 
   76+   3+0.000000+   18+   1+0.000000 
   77+   3+0.000000+   18+   1+0.000000 
   78+   3+0.000000+   18+   1+0.000000 
   79+   3+0.000000+   18+   1+0.000000 
   80+   3+0.000000+   18+   1+0.000000 
   81+   3+0.000000+   18+   1+0.000000 
   82+   3+0.000000+   18+   1+0.000000 
   83+   3+0.000000+   18+   1+0.000000 
   84+   3+0.000000+   18+   1+0.000000 
   85+   4+0.000000+   18+   1+0.000000 
   86+   4+0.000000+   18+   1+0.000000 
   87+   4+0.000000+   18+   1+0.000000 
   88+   4+0.000000+   18+   1+0.000000 
   89+   4+0.000000+   18+   1+0.000000 
   90+   4+0.000000+   18+   1+0.000000 
   91+   4+0.000000+   18+   1+0.000000 
   92+   4+0.000000+   18+   1+0.000000 
   93+   4+0.000000+   18+   1+0.000000 
   94+   4+0.000000+   18+   1+0.000000 
   95+   4+0.000000+   18+   1+0.000000 
   96+   5+0.000000+   18+   1+0.000000 
   97+   5+0.000000+   18+   1+0.000000 
   98+   5+0.000000+   18+   1+0.000000 
   99+   5+0.000000+   18+   1+0.000000 
  100+   5+0.000000+   18+   1+0.000000 
  101+   5+0.000000+   18+   1+0.000000 
  102+   5+0.000000+   18+   1+0.000000 
  103+   5+0.000000+   18+   1+0.000000 
  104+   5+0.000000+   18+   1+0.000000 
  105+   5+0.000000+   18+   1+0.000000 
  106+   5+0.000000+   18+   1+0.000000 
  107+   5+0.000000+   18+   1+0.000000 
  108+   5+0.000000+   18+   1+0.000000 
  109+   5+0.000000+   18+   1+0.000000 
  110+   5+0.000000+   18+   1+0.000000 
  111+   5+0.000000+   18+   1+0.000000 
  112+   5+0.000000+   18+   1+0.000000 
  113+   5+0.000000+   18+   1+0.000000 
  114+   5+0.000000+   18+   1+0.000000 
  115+   5+0.000000+   18+   1+0.000000 
  116+   5+0.000000+   18+   1+0.000000 
  117+   5+0.000000+   18+   1+0.000000 
  118+   5+0.000000+   18+   1+0.000000 
  119+   5+0.000000+   18+   1+0.000000 
  120+   5+0.000000+   18+   1+0.000000 
  121+   5+0.000000+   18+   1+0.000000 
  122+   6+0.000000+   18+   1+0.000000 
  123+   6+0.000000+   18+   1+0.000000 
  124+   6+0.000000+   18+   1+0.000000 
  125+   6+0.000000+   18+   1+0.000000 
  126+   6+0.000000+   18+   1+0.000000 
  127+   6+0.000000+   18+   1+0.000000 
  128+   6+0.000000+   18+   1+0.000000 
  129+   6+0.000000+   18+   1+0.000000 
  130+   6+0.000000+   18+   1+0.000000 
  131+   6+0.000000+   18+   1+0.000000 
  132+   6+0.000000+   18+   1+0.000000 
  133+   6+0.000000+   18+   1+0.000000 
  134+   6+0.000000+   18+   1+0.000000 
  135+   6+0.000000+   18+   1+0.000000 
  136+   6+0.000000+   18+   1+0.000000 
  137+   6+0.000000+   18+   1+0.000000 
  138+   6+0.000000+   18+   1+0.000000 
  139+   6+0.000000+   18+   1+0.000000 
  140+   6+0.000000+   18+   1+0.000000 
  141+   6+0.000000+   18+   1+0.000000 
  142+   6+0.000000+   18+   1+0.000000 
  143+   6+0.000000+   18+   1+0.000000 
  144+   6+0.000000+   18+   1+0.000000 
  145+   6+0.000000+   18+   1+0.000000 
  146+   6+0.000000+   18+   1+0.000000 
  147+   6+0.000000+   18+   1+0.000000 
  147+   6+0.000000+   18+   1+0.000000 
  147+   6+0.000000+   18+   1+0.000000 
