    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.500000+    2+   1+0.500000 
    3+   1+0.333333+    3+   1+0.333333 
    4+   1+0.250000+    4+   1+0.250000 
    5+   1+0.200000+    5+   1+0.200000 
    6+   1+0.166667+    6+   1+0.166667 
    7+   1+0.142857+    7+   1+0.142857 
    8+   1+0.125000+    8+   1+0.125000 
    9+   1+0.111111+    9+   1+0.111111 
   10+   1+0.100000+   10+   1+0.100000 
   11+   1+0.090909+   11+   1+0.090909 
   12+   1+0.083333+   12+   1+0.083333 
   12+   1+0.083333+   13+   1+0.076923 
   12+   1+0.083333+   14+   1+0.071429 
   12+   1+0.083333+   15+   1+0.066667 
   12+   1+0.083333+   16+   1+0.062500 
   12+   1+0.083333+   17+   1+0.058824 
   12+   1+0.083333+   18+   1+0.055556 
   12+   1+0.083333+   19+   1+0.052632 
   12+   1+0.083333+   20+   1+0.050000 
   12+   1+0.083333+   21+   1+0.047619 
   12+   1+0.083333+   22+   1+0.045455 
   12+   1+0.083333+   23+   1+0.043478 
   12+   1+0.083333+   24+   1+0.041667 
   12+   1+0.083333+   25+   1+0.040000 
   12+   1+0.083333+   26+   1+0.038462 
   12+   1+0.083333+   27+   1+0.037037 
   12+   1+0.083333+   28+   1+0.035714 
   12+   1+0.083333+   29+   1+0.034483 
   12+   1+0.083333+   30+   1+0.033333 
   12+   1+0.083333+   31+   1+0.032258 
   12+   1+0.083333+   32+   1+0.031250 
   12+   1+0.083333+   33+   2+0.060606 
   12+   1+0.083333+   34+   2+0.058824 
   12+   1+0.083333+   35+   2+0.057143 
   12+   1+0.083333+   36+   2+0.055556 
   12+   1+0.083333+   37+   2+0.054054 
   12+   1+0.083333+   38+   2+0.052632 
   12+   1+0.083333+   39+   2+0.051282 
   12+   1+0.083333+   40+   2+0.050000 
   12+   1+0.083333+   41+   2+0.048780 
   12+   1+0.083333+   42+   2+0.047619 
   12+   1+0.083333+   43+   2+0.046512 
   12+   1+0.083333+   44+   2+0.045455 
   12+   1+0.083333+   45+   2+0.044444 
   12+   1+0.083333+   46+   2+0.043478 
   12+   1+0.083333+   47+   2+0.042553 
   12+   1+0.083333+   48+   2+0.041667 
   12+   1+0.083333+   49+   2+0.040816 
   12+   1+0.083333+   50+   2+0.040000 
   12+   1+0.083333+   50+   2+0.040000 
   12+   1+0.083333+   50+   2+0.040000 
