    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.500000+    2+   1+0.500000 
    3+   1+0.333333+    3+   1+0.333333 
    4+   1+0.250000+    3+   1+0.333333 
    5+   1+0.200000+    3+   1+0.333333 
    6+   1+0.166667+    3+   1+0.333333 
    7+   1+0.142857+    3+   1+0.333333 
    8+   1+0.125000+    3+   1+0.333333 
    9+   1+0.111111+    3+   1+0.333333 
   10+   1+0.100000+    3+   1+0.333333 
   11+   1+0.090909+    3+   1+0.333333 
   12+   1+0.083333+    3+   1+0.333333 
   13+   1+0.076923+    3+   1+0.333333 
   14+   1+0.071429+    3+   1+0.333333 
   15+   1+0.066667+    3+   1+0.333333 
   16+   1+0.062500+    3+   1+0.333333 
   17+   1+0.058824+    3+   1+0.333333 
   18+   1+0.055556+    3+   1+0.333333 
   19+   1+0.052632+    3+   1+0.333333 
   20+   1+0.050000+    3+   1+0.333333 
   21+   1+0.047619+    3+   1+0.333333 
   22+   1+0.045455+    3+   1+0.333333 
   23+   1+0.043478+    3+   1+0.333333 
   24+   1+0.041667+    3+   1+0.333333 
   25+   1+0.040000+    3+   1+0.333333 
   26+   1+0.038462+    3+   1+0.333333 
   27+   1+0.037037+    3+   1+0.333333 
   28+   1+0.035714+    3+   1+0.333333 
   29+   1+0.034483+    3+   1+0.333333 
   30+   1+0.033333+    3+   1+0.333333 
   31+   1+0.032258+    3+   1+0.333333 
   32+   1+0.031250+    3+   1+0.333333 
   33+   1+0.030303+    3+   1+0.333333 
   34+   1+0.029412+    3+   1+0.333333 
   35+   1+0.028571+    3+   1+0.333333 
   36+   1+0.027778+    3+   1+0.333333 
   37+   1+0.027027+    3+   1+0.333333 
   38+   1+0.026316+    3+   1+0.333333 
   39+   1+0.025641+    3+   1+0.333333 
   40+   1+0.025000+    3+   1+0.333333 
   41+   1+0.024390+    3+   1+0.333333 
   42+   1+0.023810+    3+   1+0.333333 
   43+   1+0.023256+    3+   1+0.333333 
   44+   1+0.022727+    3+   1+0.333333 
   45+   1+0.022222+    3+   1+0.333333 
   46+   1+0.021739+    3+   1+0.333333 
   47+   1+0.021277+    3+   1+0.333333 
   48+   1+0.020833+    3+   1+0.333333 
   49+   1+0.020408+    3+   1+0.333333 
   50+   1+0.020000+    3+   1+0.333333 
   51+   1+0.019608+    3+   1+0.333333 
   52+   1+0.019231+    3+   1+0.333333 
