  139+   4+0.028777+    2+   1+0.500000 
  140+   4+0.028571+    2+   1+0.500000 
  141+   4+0.028369+    2+   1+0.500000 
  142+   4+0.028169+    2+   1+0.500000 
  143+   4+0.027972+    2+   1+0.500000 
  144+   4+0.027778+    2+   1+0.500000 
  145+   4+0.027586+    2+   1+0.500000 
  146+   4+0.027397+    2+   1+0.500000 
  147+   4+0.027211+    2+   1+0.500000 
  148+   4+0.027027+    2+   1+0.500000 
  149+   4+0.026846+    2+   1+0.500000 
  150+   4+0.026667+    2+   1+0.500000 
  151+   4+0.026490+    2+   1+0.500000 
  152+   4+0.026316+    2+   1+0.500000 
  153+   4+0.026144+    2+   1+0.500000 
  154+   4+0.025974+    2+   1+0.500000 
  155+   4+0.025806+    2+   1+0.500000 
  156+   4+0.025641+    2+   1+0.500000 
  157+   4+0.025478+    2+   1+0.500000 
  158+   4+0.025316+    2+   1+0.500000 
  159+   4+0.025157+    2+   1+0.500000 
  160+   4+0.025000+    2+   1+0.500000 
  161+   4+0.024845+    2+   1+0.500000 
  162+   4+0.024691+    2+   1+0.500000 
  163+   4+0.024540+    2+   1+0.500000 
  164+   4+0.024390+    2+   1+0.500000 
  165+   4+0.024242+    2+   1+0.500000 
  166+   4+0.024096+    2+   1+0.500000 
  167+   4+0.023952+    2+   1+0.500000 
  168+   4+0.023810+    2+   1+0.500000 
  169+   4+0.023669+    2+   1+0.500000 
  170+   4+0.023529+    2+   1+0.500000 
  171+   4+0.023392+    2+   1+0.500000 
  172+   4+0.023256+    2+   1+0.500000 
  173+   4+0.023121+    2+   1+0.500000 
  174+   4+0.022989+    2+   1+0.500000 
  175+   4+0.022857+    2+   1+0.500000 
  176+   4+0.022727+    2+   1+0.500000 
  177+   4+0.022599+    2+   1+0.500000 
  178+   4+0.022472+    2+   1+0.500000 
  179+   4+0.022346+    2+   1+0.500000 
  180+   4+0.022222+    2+   1+0.500000 
  181+   4+0.022099+    2+   1+0.500000 
  182+   4+0.021978+    2+   1+0.500000 
  183+   4+0.021858+    2+   1+0.500000 
  184+   4+0.021739+    2+   1+0.500000 
  185+   4+0.021622+    2+   1+0.500000 
  186+   4+0.021505+    2+   1+0.500000 
  187+   4+0.021390+    2+   1+0.500000 
  188+   4+0.021277+    2+   1+0.500000 
  189+   4+0.021164+    2+   1+0.500000 
  190+   4+0.021053+    2+   1+0.500000 
  191+   4+0.020942+    2+   1+0.500000 
  192+   4+0.020833+    2+   1+0.500000 
  193+   4+0.020725+    2+   1+0.500000 
  194+   4+0.020619+    2+   1+0.500000 
  195+   4+0.020513+    2+   1+0.500000 
  196+   4+0.020408+    2+   1+0.500000 
  197+   4+0.020305+    2+   1+0.500000 
  198+   4+0.020202+    2+   1+0.500000 
  199+   4+0.020101+    2+   1+0.500000 
  200+   4+0.020000+    2+   1+0.500000 
  201+   4+0.019900+    2+   1+0.500000 
  202+   4+0.019802+    2+   1+0.500000 
  203+   4+0.019704+    2+   1+0.500000 
  204+   4+0.019608+    2+   1+0.500000 
  205+   4+0.019512+    2+   1+0.500000 
  206+   4+0.019417+    2+   1+0.500000 
  207+   4+0.019324+    2+   1+0.500000 
  208+   4+0.019231+    2+   1+0.500000 
  209+   4+0.019139+    2+   1+0.500000 
  210+   4+0.019048+    2+   1+0.500000 
  211+   4+0.018957+    2+   1+0.500000 
  212+   4+0.018868+    2+   1+0.500000 
  213+   4+0.018779+    2+   1+0.500000 
  214+   4+0.018692+    2+   1+0.500000 
  215+   4+0.018605+    2+   1+0.500000 
  216+   4+0.018519+    2+   1+0.500000 
  217+   4+0.018433+    2+   1+0.500000 
  218+   4+0.018349+    2+   1+0.500000 
  219+   4+0.018265+    2+   1+0.500000 
  220+   4+0.018182+    2+   1+0.500000 
  221+   4+0.018100+    2+   1+0.500000 
  222+   4+0.018018+    2+   1+0.500000 
  223+   4+0.017937+    2+   1+0.500000 
  224+   4+0.017857+    2+   1+0.500000 
  225+   4+0.017778+    2+   1+0.500000 
  226+   4+0.017699+    2+   1+0.500000 
  227+   4+0.017621+    2+   1+0.500000 
  228+   4+0.017544+    2+   1+0.500000 
  229+   4+0.017467+    2+   1+0.500000 
  230+   4+0.017391+    2+   1+0.500000 
  231+   4+0.017316+    2+   1+0.500000 
  232+   4+0.017241+    2+   1+0.500000 
  233+   4+0.017167+    2+   1+0.500000 
  234+   4+0.017094+    2+   1+0.500000 
  235+   4+0.017021+    2+   1+0.500000 
  236+   4+0.016949+    2+   1+0.500000 
  237+   4+0.016878+    2+   1+0.500000 
  238+   4+0.016807+    2+   1+0.500000 
  239+   4+0.016736+    2+   1+0.500000 
  240+   4+0.016667+    2+   1+0.500000 
  241+   4+0.016598+    2+   1+0.500000 
  242+   4+0.016529+    2+   1+0.500000 
  243+   4+0.016461+    2+   1+0.500000 
  244+   4+0.016393+    2+   1+0.500000 
  245+   4+0.016327+    2+   1+0.500000 
  246+   4+0.016260+    2+   1+0.500000 
  247+   4+0.016194+    2+   1+0.500000 
  248+   4+0.016129+    2+   1+0.500000 
  249+   4+0.016064+    2+   1+0.500000 
  250+   4+0.016000+    2+   1+0.500000 
  251+   4+0.015936+    2+   1+0.500000 
  252+   4+0.015873+    2+   1+0.500000 
  253+   4+0.015810+    2+   1+0.500000 
  254+   4+0.015748+    2+   1+0.500000 
  255+   4+0.015686+    2+   1+0.500000 
  256+   4+0.015625+    2+   1+0.500000 
  257+   4+0.015564+    2+   1+0.500000 
  258+   4+0.015504+    2+   1+0.500000 
  259+   4+0.015444+    2+   1+0.500000 
  260+   4+0.015385+    2+   1+0.500000 
  261+   4+0.015326+    2+   1+0.500000 
  262+   4+0.015267+    2+   1+0.500000 
  263+   4+0.015209+    2+   1+0.500000 
  264+   4+0.015152+    2+   1+0.500000 
  265+   4+0.015094+    2+   1+0.500000 
  266+   4+0.015038+    2+   1+0.500000 
  267+   4+0.014981+    2+   1+0.500000 
  268+   4+0.014925+    2+   1+0.500000 
  269+   4+0.014870+    2+   1+0.500000 
  270+   4+0.014815+    2+   1+0.500000 
  271+   4+0.014760+    2+   1+0.500000 
  272+   4+0.014706+    2+   1+0.500000 
  273+   4+0.014652+    2+   1+0.500000 
  274+   4+0.014599+    2+   1+0.500000 
  275+   4+0.014545+    2+   1+0.500000 
  276+   4+0.014493+    2+   1+0.500000 
  277+   4+0.014440+    2+   1+0.500000 
  278+   4+0.014388+    2+   1+0.500000 
  279+   5+0.017921+    2+   1+0.500000 
  280+   5+0.017857+    2+   1+0.500000 
  281+   5+0.017794+    2+   1+0.500000 
  282+   5+0.017730+    2+   1+0.500000 
  283+   5+0.017668+    2+   1+0.500000 
  284+   5+0.017606+    2+   1+0.500000 
  285+   5+0.017544+    2+   1+0.500000 
  286+   5+0.017483+    2+   1+0.500000 
  287+   5+0.017422+    2+   1+0.500000 
  288+   5+0.017361+    2+   1+0.500000 
  289+   5+0.017301+    2+   1+0.500000 
  290+   5+0.017241+    2+   1+0.500000 
  291+   5+0.017182+    2+   1+0.500000 
  292+   5+0.017123+    2+   1+0.500000 
  293+   5+0.017065+    2+   1+0.500000 
  294+   5+0.017007+    2+   1+0.500000 
  295+   5+0.016949+    2+   1+0.500000 
  296+   5+0.016892+    2+   1+0.500000 
  297+   5+0.016835+    2+   1+0.500000 
  298+   5+0.016779+    2+   1+0.500000 
  299+   5+0.016722+    2+   1+0.500000 
  300+   5+0.016667+    2+   1+0.500000 
  301+   6+0.019934+    2+   1+0.500000 
  302+   6+0.019868+    2+   1+0.500000 
  303+   6+0.019802+    2+   1+0.500000 
  304+   6+0.019737+    2+   1+0.500000 
  305+   6+0.019672+    2+   1+0.500000 
  306+   7+0.022876+    2+   1+0.500000 
  307+   7+0.022801+    2+   1+0.500000 
  308+   7+0.022727+    2+   1+0.500000 
  309+   7+0.022654+    2+   1+0.500000 
  310+   7+0.022581+    2+   1+0.500000 
  311+   7+0.022508+    2+   1+0.500000 
  312+   7+0.022436+    2+   1+0.500000 
  313+   7+0.022364+    2+   1+0.500000 
  314+   7+0.022293+    2+   1+0.500000 
  315+   7+0.022222+    2+   1+0.500000 
  316+   7+0.022152+    2+   1+0.500000 
  317+   7+0.022082+    2+   1+0.500000 
  318+   7+0.022013+    2+   1+0.500000 
  319+   7+0.021944+    2+   1+0.500000 
  320+   7+0.021875+    2+   1+0.500000 
  321+   7+0.021807+    2+   1+0.500000 
  322+   7+0.021739+    2+   1+0.500000 
  323+   7+0.021672+    2+   1+0.500000 
  324+   7+0.021605+    2+   1+0.500000 
  325+   7+0.021538+    2+   1+0.500000 
  326+   7+0.021472+    2+   1+0.500000 
  327+   7+0.021407+    2+   1+0.500000 
  328+   7+0.021341+    2+   1+0.500000 
  329+   7+0.021277+    2+   1+0.500000 
  330+   7+0.021212+    2+   1+0.500000 
  331+   7+0.021148+    2+   1+0.500000 
  332+   7+0.021084+    2+   1+0.500000 
  333+   7+0.021021+    2+   1+0.500000 
  334+   7+0.020958+    2+   1+0.500000 
  335+   7+0.020896+    2+   1+0.500000 
  336+   7+0.020833+    2+   1+0.500000 
  337+   7+0.020772+    2+   1+0.500000 
  338+   7+0.020710+    2+   1+0.500000 
  339+   7+0.020649+    2+   1+0.500000 
  340+   7+0.020588+    2+   1+0.500000 
  341+   7+0.020528+    2+   1+0.500000 
  342+   7+0.020468+    2+   1+0.500000 
  343+   7+0.020408+    2+   1+0.500000 
  344+   7+0.020349+    2+   1+0.500000 
  345+   7+0.020290+    2+   1+0.500000 
  346+   7+0.020231+    2+   1+0.500000 
  347+   7+0.020173+    2+   1+0.500000 
  347+   7+0.020173+    2+   1+0.500000 
  347+   7+0.020173+    2+   1+0.500000 
