    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.500000+    2+   1+0.500000 
    3+   1+0.333333+    3+   1+0.333333 
    4+   1+0.250000+    4+   1+0.250000 
    5+   1+0.200000+    5+   1+0.200000 
    6+   1+0.166667+    6+   1+0.166667 
    7+   1+0.142857+    7+   1+0.142857 
    8+   1+0.125000+    8+   1+0.125000 
    9+   1+0.111111+    9+   1+0.111111 
   10+   1+0.100000+    9+   1+0.111111 
   11+   1+0.090909+    9+   1+0.111111 
   12+   1+0.083333+    9+   1+0.111111 
   13+   1+0.076923+    9+   1+0.111111 
   14+   1+0.071429+    9+   1+0.111111 
   15+   2+0.133333+    9+   1+0.111111 
   16+   2+0.125000+    9+   1+0.111111 
   17+   2+0.117647+    9+   1+0.111111 
   18+   2+0.111111+    9+   1+0.111111 
   19+   2+0.105263+    9+   1+0.111111 
   20+   2+0.100000+    9+   1+0.111111 
   21+   2+0.095238+    9+   1+0.111111 
   22+   2+0.090909+    9+   1+0.111111 
   23+   2+0.086957+    9+   1+0.111111 
   24+   2+0.083333+    9+   1+0.111111 
   25+   3+0.120000+    9+   1+0.111111 
   26+   3+0.115385+    9+   1+0.111111 
   27+   3+0.111111+    9+   1+0.111111 
   28+   3+0.107143+    9+   1+0.111111 
   29+   3+0.103448+    9+   1+0.111111 
   30+   4+0.133333+    9+   1+0.111111 
   31+   4+0.129032+    9+   1+0.111111 
   32+   4+0.125000+    9+   1+0.111111 
   33+   4+0.121212+    9+   1+0.111111 
   34+   4+0.117647+    9+   1+0.111111 
   35+   4+0.114286+    9+   1+0.111111 
   36+   4+0.111111+    9+   1+0.111111 
   37+   4+0.108108+    9+   1+0.111111 
   38+   4+0.105263+    9+   1+0.111111 
   39+   4+0.102564+    9+   1+0.111111 
   40+   4+0.100000+    9+   1+0.111111 
   41+   4+0.097561+    9+   1+0.111111 
   42+   4+0.095238+    9+   1+0.111111 
   43+   4+0.093023+    9+   1+0.111111 
   44+   4+0.090909+    9+   1+0.111111 
   45+   4+0.088889+    9+   1+0.111111 
   46+   4+0.086957+    9+   1+0.111111 
   47+   4+0.085106+    9+   1+0.111111 
   48+   4+0.083333+    9+   1+0.111111 
   49+   4+0.081633+    9+   1+0.111111 
   50+   4+0.080000+    9+   1+0.111111 
   51+   4+0.078431+    9+   1+0.111111 
   52+   4+0.076923+    9+   1+0.111111 
   53+   4+0.075472+    9+   1+0.111111 
   54+   4+0.074074+    9+   1+0.111111 
   54+   4+0.074074+    9+   1+0.111111 
   54+   4+0.074074+    9+   1+0.111111 
