    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.500000+    2+   1+0.500000 
    3+   1+0.333333+    3+   1+0.333333 
    3+   1+0.333333+    4+   1+0.250000 
    3+   1+0.333333+    5+   1+0.200000 
    3+   1+0.333333+    6+   1+0.166667 
    3+   1+0.333333+    7+   1+0.142857 
    3+   1+0.333333+    8+   1+0.125000 
    3+   1+0.333333+    9+   1+0.111111 
    3+   1+0.333333+   10+   1+0.100000 
    3+   1+0.333333+   11+   1+0.090909 
    3+   1+0.333333+   12+   1+0.083333 
    3+   1+0.333333+   13+   1+0.076923 
    3+   1+0.333333+   14+   1+0.071429 
    3+   1+0.333333+   15+   1+0.066667 
    3+   1+0.333333+   16+   1+0.062500 
    3+   1+0.333333+   17+   1+0.058824 
    3+   1+0.333333+   18+   1+0.055556 
    3+   1+0.333333+   19+   1+0.052632 
    3+   1+0.333333+   20+   1+0.050000 
    3+   1+0.333333+   20+   1+0.050000 
    3+   1+0.333333+   20+   1+0.050000 
