    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.000000+    2+   1+0.000000 
    3+   1+0.000000+    3+   1+0.000000 
    4+   1+0.000000+    4+   1+0.000000 
    5+   1+0.000000+    5+   1+0.000000 
    6+   1+0.000000+    6+   1+0.000000 
    7+   1+0.000000+    7+   1+0.000000 
    8+   1+0.000000+    8+   1+0.000000 
    9+   1+0.000000+    9+   1+0.000000 
   10+   1+0.000000+   10+   1+0.000000 
   11+   1+0.000000+   11+   1+0.000000 
   12+   1+0.000000+   12+   1+0.000000 
   13+   1+0.000000+   13+   1+0.000000 
   14+   1+0.000000+   14+   1+0.000000 
   15+   1+0.000000+   15+   1+0.000000 
   16+   1+0.000000+   16+   1+0.000000 
   17+   1+0.000000+   16+   1+0.000000 
   18+   1+0.000000+   16+   1+0.000000 
   19+   1+0.000000+   16+   1+0.000000 
   20+   1+0.000000+   16+   1+0.000000 
   21+   1+0.000000+   16+   1+0.000000 
   22+   1+0.000000+   16+   1+0.000000 
   23+   1+0.000000+   16+   1+0.000000 
   24+   1+0.000000+   16+   1+0.000000 
   25+   1+0.000000+   16+   1+0.000000 
   26+   1+0.000000+   16+   1+0.000000 
   27+   2+0.000000+   16+   1+0.000000 
   28+   2+0.000000+   16+   1+0.000000 
   29+   2+0.000000+   16+   1+0.000000 
   30+   2+0.000000+   16+   1+0.000000 
   31+   2+0.000000+   16+   1+0.000000 
   32+   2+0.000000+   16+   1+0.000000 
   33+   2+0.000000+   16+   1+0.000000 
   34+   2+0.000000+   16+   1+0.000000 
   35+   2+0.000000+   16+   1+0.000000 
   36+   2+0.000000+   16+   1+0.000000 
   37+   2+0.000000+   16+   1+0.000000 
   38+   2+0.000000+   16+   1+0.000000 
   39+   2+0.000000+   16+   1+0.000000 
   40+   2+0.000000+   16+   1+0.000000 
   41+   2+0.000000+   16+   1+0.000000 
   42+   2+0.000000+   16+   1+0.000000 
   43+   2+0.000000+   16+   1+0.000000 
   44+   2+0.000000+   16+   1+0.000000 
   45+   2+0.000000+   16+   1+0.000000 
   46+   2+0.000000+   16+   1+0.000000 
   47+   2+0.000000+   16+   1+0.000000 
   48+   2+0.000000+   16+   1+0.000000 
   49+   2+0.000000+   16+   1+0.000000 
   50+   2+0.000000+   16+   1+0.000000 
   51+   2+0.000000+   16+   1+0.000000 
   52+   2+0.000000+   16+   1+0.000000 
   53+   2+0.000000+   16+   1+0.000000 
   54+   2+0.000000+   16+   1+0.000000 
   55+   2+0.000000+   16+   1+0.000000 
   56+   2+0.000000+   16+   1+0.000000 
   57+   2+0.000000+   16+   1+0.000000 
   58+   2+0.000000+   16+   1+0.000000 
   59+   2+0.000000+   16+   1+0.000000 
   60+   2+0.000000+   16+   1+0.000000 
   61+   2+0.000000+   16+   1+0.000000 
   62+   2+0.000000+   16+   1+0.000000 
   63+   2+0.000000+   16+   1+0.000000 
   64+   2+0.000000+   16+   1+0.000000 
   65+   2+0.000000+   16+   1+0.000000 
   66+   2+0.000000+   16+   1+0.000000 
   67+   2+0.000000+   16+   1+0.000000 
   68+   2+0.000000+   16+   1+0.000000 
   69+   2+0.000000+   16+   1+0.000000 
   70+   2+0.000000+   16+   1+0.000000 
   71+   2+0.000000+   16+   1+0.000000 
   72+   2+0.000000+   16+   1+0.000000 
   73+   2+0.000000+   16+   1+0.000000 
   74+   2+0.000000+   16+   1+0.000000 
   75+   2+0.000000+   16+   1+0.000000 
   76+   2+0.000000+   16+   1+0.000000 
   77+   2+0.000000+   16+   1+0.000000 
   78+   2+0.000000+   16+   1+0.000000 
   79+   2+0.000000+   16+   1+0.000000 
   80+   2+0.000000+   16+   1+0.000000 
   81+   2+0.000000+   16+   1+0.000000 
   82+   2+0.000000+   16+   1+0.000000 
   83+   2+0.000000+   16+   1+0.000000 
   84+   2+0.000000+   16+   1+0.000000 
   85+   2+0.000000+   16+   1+0.000000 
   86+   2+0.000000+   16+   1+0.000000 
   87+   2+0.000000+   16+   1+0.000000 
   88+   3+0.000000+   16+   1+0.000000 
   89+   3+0.000000+   16+   1+0.000000 
   90+   3+0.000000+   16+   1+0.000000 
   91+   3+0.000000+   16+   1+0.000000 
   92+   3+0.000000+   16+   1+0.000000 
   93+   3+0.000000+   16+   1+0.000000 
   94+   3+0.000000+   16+   1+0.000000 
   95+   3+0.000000+   16+   1+0.000000 
   96+   3+0.000000+   16+   1+0.000000 
   97+   3+0.000000+   16+   1+0.000000 
   98+   3+0.000000+   16+   1+0.000000 
   99+   3+0.000000+   16+   1+0.000000 
  100+   3+0.000000+   16+   1+0.000000 
  101+   3+0.000000+   16+   1+0.000000 
  102+   3+0.000000+   16+   1+0.000000 
  103+   3+0.000000+   16+   1+0.000000 
  104+   3+0.000000+   16+   1+0.000000 
  105+   3+0.000000+   16+   1+0.000000 
  106+   3+0.000000+   16+   1+0.000000 
  107+   3+0.000000+   16+   1+0.000000 
  108+   3+0.000000+   16+   1+0.000000 
  109+   3+0.000000+   16+   1+0.000000 
  110+   3+0.000000+   16+   1+0.000000 
  111+   3+0.000000+   16+   1+0.000000 
  112+   3+0.000000+   16+   1+0.000000 
  113+   3+0.000000+   16+   1+0.000000 
  114+   3+0.000000+   16+   1+0.000000 
  115+   3+0.000000+   16+   1+0.000000 
  116+   3+0.000000+   16+   1+0.000000 
  117+   3+0.000000+   16+   1+0.000000 
  118+   3+0.000000+   16+   1+0.000000 
  119+   3+0.000000+   16+   1+0.000000 
  120+   3+0.000000+   16+   1+0.000000 
  121+   3+0.000000+   16+   1+0.000000 
  122+   3+0.000000+   16+   1+0.000000 
  123+   3+0.000000+   16+   1+0.000000 
  124+   3+0.000000+   16+   1+0.000000 
  125+   4+0.000000+   16+   1+0.000000 
  126+   4+0.000000+   16+   1+0.000000 
  127+   4+0.000000+   16+   1+0.000000 
  128+   4+0.000000+   16+   1+0.000000 
  129+   4+0.000000+   16+   1+0.000000 
  130+   4+0.000000+   16+   1+0.000000 
  131+   4+0.000000+   16+   1+0.000000 
  132+   4+0.000000+   16+   1+0.000000 
  133+   4+0.000000+   16+   1+0.000000 
  134+   4+0.000000+   16+   1+0.000000 
  135+   4+0.000000+   16+   1+0.000000 
  136+   4+0.000000+   16+   1+0.000000 
  137+   4+0.000000+   16+   1+0.000000 
  138+   4+0.000000+   16+   1+0.000000 
  139+   4+0.000000+   16+   1+0.000000 
  140+   4+0.000000+   16+   1+0.000000 
  141+   4+0.000000+   16+   1+0.000000 
  142+   5+0.000000+   16+   1+0.000000 
  143+   5+0.000000+   16+   1+0.000000 
  144+   5+0.000000+   16+   1+0.000000 
  145+   5+0.000000+   16+   1+0.000000 
  146+   5+0.000000+   16+   1+0.000000 
  147+   5+0.000000+   16+   1+0.000000 
  148+   5+0.000000+   16+   1+0.000000 
  149+   5+0.000000+   16+   1+0.000000 
  150+   5+0.000000+   16+   1+0.000000 
  151+   5+0.000000+   16+   1+0.000000 
  152+   5+0.000000+   16+   1+0.000000 
  153+   5+0.000000+   16+   1+0.000000 
  154+   5+0.000000+   16+   1+0.000000 
  155+   5+0.000000+   16+   1+0.000000 
  156+   5+0.000000+   16+   1+0.000000 
  157+   5+0.000000+   16+   1+0.000000 
  158+   5+0.000000+   16+   1+0.000000 
  159+   5+0.000000+   16+   1+0.000000 
  160+   5+0.000000+   16+   1+0.000000 
  161+   5+0.000000+   16+   1+0.000000 
  162+   5+0.000000+   16+   1+0.000000 
  163+   5+0.000000+   16+   1+0.000000 
  164+   5+0.000000+   16+   1+0.000000 
  165+   5+0.000000+   16+   1+0.000000 
  166+   5+0.000000+   16+   1+0.000000 
  167+   5+0.000000+   16+   1+0.000000 
  168+   5+0.000000+   16+   1+0.000000 
  169+   5+0.000000+   16+   1+0.000000 
  170+   5+0.000000+   16+   1+0.000000 
  171+   5+0.000000+   16+   1+0.000000 
  172+   5+0.000000+   16+   1+0.000000 
  173+   5+0.000000+   16+   1+0.000000 
  174+   5+0.000000+   16+   1+0.000000 
  175+   5+0.000000+   16+   1+0.000000 
  176+   5+0.000000+   16+   1+0.000000 
  177+   5+0.000000+   16+   1+0.000000 
  178+   5+0.000000+   16+   1+0.000000 
  179+   5+0.000000+   16+   1+0.000000 
  180+   5+0.000000+   16+   1+0.000000 
  181+   5+0.000000+   16+   1+0.000000 
  182+   5+0.000000+   16+   1+0.000000 
  183+   5+0.000000+   16+   1+0.000000 
  184+   5+0.000000+   16+   1+0.000000 
  185+   5+0.000000+   16+   1+0.000000 
  186+   5+0.000000+   16+   1+0.000000 
  187+   5+0.000000+   16+   1+0.000000 
  188+   5+0.000000+   16+   1+0.000000 
  189+   5+0.000000+   16+   1+0.000000 
  190+   5+0.000000+   16+   1+0.000000 
  191+   5+0.000000+   16+   1+0.000000 
  192+   5+0.000000+   16+   1+0.000000 
  193+   5+0.000000+   16+   1+0.000000 
  194+   5+0.000000+   16+   1+0.000000 
  195+   5+0.000000+   16+   1+0.000000 
  196+   5+0.000000+   16+   1+0.000000 
  197+   5+0.000000+   16+   1+0.000000 
  198+   5+0.000000+   16+   1+0.000000 
  199+   5+0.000000+   16+   1+0.000000 
  200+   5+0.000000+   16+   1+0.000000 
  201+   5+0.000000+   16+   1+0.000000 
  202+   5+0.000000+   16+   1+0.000000 
  203+   5+0.000000+   16+   1+0.000000 
  204+   5+0.000000+   16+   1+0.000000 
  205+   5+0.000000+   16+   1+0.000000 
