    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.000000+    2+   1+0.000000 
    3+   1+0.000000+    3+   1+0.000000 
    4+   1+0.000000+    4+   1+0.000000 
    5+   1+0.000000+    5+   1+0.000000 
    6+   1+0.000000+    6+   1+0.000000 
    7+   1+0.000000+    7+   1+0.000000 
    8+   1+0.000000+    8+   1+0.000000 
    9+   1+0.000000+    9+   1+0.000000 
   10+   1+0.000000+   10+   1+0.000000 
   11+   1+0.000000+   11+   1+0.000000 
   12+   1+0.000000+   12+   1+0.000000 
   13+   1+0.000000+   13+   1+0.000000 
   14+   1+0.000000+   14+   1+0.000000 
   15+   1+0.000000+   15+   2+0.000000 
   16+   1+0.000000+   16+   2+0.000000 
   17+   1+0.000000+   17+   2+0.000000 
   18+   1+0.000000+   18+   2+0.000000 
   19+   1+0.000000+   19+   2+0.000000 
   20+   1+0.000000+   20+   2+0.000000 
   21+   1+0.000000+   21+   2+0.000000 
   22+   1+0.000000+   22+   2+0.000000 
   23+   1+0.000000+   23+   2+0.000000 
   24+   1+0.000000+   24+   2+0.000000 
   25+   1+0.000000+   25+   2+0.000000 
   26+   1+0.000000+   26+   2+0.000000 
   26+   1+0.000000+   27+   2+0.000000 
   26+   1+0.000000+   28+   2+0.000000 
   26+   1+0.000000+   29+   2+0.000000 
   26+   1+0.000000+   30+   2+0.000000 
   26+   1+0.000000+   31+   2+0.000000 
   26+   1+0.000000+   32+   2+0.000000 
   26+   1+0.000000+   33+   2+0.000000 
   26+   1+0.000000+   34+   2+0.000000 
   26+   1+0.000000+   35+   2+0.000000 
   26+   1+0.000000+   36+   2+0.000000 
   26+   1+0.000000+   37+   2+0.000000 
   26+   1+0.000000+   38+   2+0.000000 
   26+   1+0.000000+   39+   2+0.000000 
   26+   1+0.000000+   40+   2+0.000000 
   26+   1+0.000000+   41+   2+0.000000 
   26+   1+0.000000+   42+   2+0.000000 
   26+   1+0.000000+   43+   2+0.000000 
   26+   1+0.000000+   44+   2+0.000000 
   26+   1+0.000000+   45+   2+0.000000 
   26+   1+0.000000+   46+   2+0.000000 
   26+   1+0.000000+   47+   2+0.000000 
   26+   1+0.000000+   48+   2+0.000000 
   26+   1+0.000000+   49+   2+0.000000 
   26+   1+0.000000+   50+   2+0.000000 
   26+   1+0.000000+   51+   2+0.000000 
   26+   1+0.000000+   52+   2+0.000000 
   26+   1+0.000000+   53+   2+0.000000 
   26+   1+0.000000+   54+   2+0.000000 
   26+   1+0.000000+   55+   2+0.000000 
   26+   1+0.000000+   56+   2+0.000000 
   26+   1+0.000000+   57+   2+0.000000 
   26+   1+0.000000+   58+   2+0.000000 
   26+   1+0.000000+   59+   2+0.000000 
   26+   1+0.000000+   60+   2+0.000000 
   26+   1+0.000000+   61+   2+0.000000 
   26+   1+0.000000+   62+   2+0.000000 
   26+   1+0.000000+   63+   2+0.000000 
   26+   1+0.000000+   64+   2+0.000000 
   26+   1+0.000000+   65+   2+0.000000 
   26+   1+0.000000+   66+   2+0.000000 
   26+   1+0.000000+   67+   2+0.000000 
   26+   1+0.000000+   68+   2+0.000000 
   26+   1+0.000000+   69+   2+0.000000 
   26+   1+0.000000+   70+   2+0.000000 
   26+   1+0.000000+   71+   2+0.000000 
   26+   1+0.000000+   72+   3+0.000000 
   26+   1+0.000000+   73+   3+0.000000 
   26+   1+0.000000+   74+   3+0.000000 
   26+   1+0.000000+   75+   3+0.000000 
   26+   1+0.000000+   76+   3+0.000000 
   26+   1+0.000000+   77+   3+0.000000 
   26+   1+0.000000+   78+   3+0.000000 
   26+   1+0.000000+   79+   3+0.000000 
   26+   1+0.000000+   80+   3+0.000000 
   26+   1+0.000000+   81+   3+0.000000 
   26+   1+0.000000+   82+   4+0.000000 
   26+   1+0.000000+   83+   4+0.000000 
   26+   1+0.000000+   84+   4+0.000000 
   26+   1+0.000000+   85+   4+0.000000 
   26+   1+0.000000+   86+   4+0.000000 
   26+   1+0.000000+   87+   4+0.000000 
   26+   1+0.000000+   88+   4+0.000000 
   26+   1+0.000000+   89+   4+0.000000 
   26+   1+0.000000+   90+   4+0.000000 
   26+   1+0.000000+   91+   4+0.000000 
   26+   1+0.000000+   92+   4+0.000000 
   26+   1+0.000000+   93+   4+0.000000 
   26+   1+0.000000+   94+   4+0.000000 
   26+   1+0.000000+   95+   4+0.000000 
   26+   1+0.000000+   96+   4+0.000000 
   26+   1+0.000000+   97+   4+0.000000 
   26+   1+0.000000+   98+   4+0.000000 
   26+   1+0.000000+   99+   4+0.000000 
   26+   1+0.000000+  100+   4+0.000000 
   26+   1+0.000000+  101+   4+0.000000 
   26+   1+0.000000+  102+   4+0.000000 
   26+   1+0.000000+  103+   4+0.000000 
   26+   1+0.000000+  104+   4+0.000000 
   26+   1+0.000000+  105+   4+0.000000 
   26+   1+0.000000+  106+   4+0.000000 
   26+   1+0.000000+  107+   4+0.000000 
   26+   1+0.000000+  108+   4+0.000000 
   26+   1+0.000000+  109+   4+0.000000 
   26+   1+0.000000+  110+   4+0.000000 
   26+   1+0.000000+  111+   4+0.000000 
   26+   1+0.000000+  112+   4+0.000000 
   26+   1+0.000000+  113+   4+0.000000 
   26+   1+0.000000+  114+   4+0.000000 
   26+   1+0.000000+  115+   4+0.000000 
   26+   1+0.000000+  116+   4+0.000000 
   26+   1+0.000000+  117+   4+0.000000 
   26+   1+0.000000+  118+   4+0.000000 
   26+   1+0.000000+  119+   4+0.000000 
   26+   1+0.000000+  120+   4+0.000000 
   26+   1+0.000000+  121+   4+0.000000 
   26+   1+0.000000+  122+   4+0.000000 
   26+   1+0.000000+  123+   4+0.000000 
   26+   1+0.000000+  124+   4+0.000000 
   26+   1+0.000000+  125+   4+0.000000 
   26+   1+0.000000+  126+   4+0.000000 
   26+   1+0.000000+  127+   4+0.000000 
   26+   1+0.000000+  128+   4+0.000000 
   26+   1+0.000000+  129+   4+0.000000 
   26+   1+0.000000+  130+   4+0.000000 
   26+   1+0.000000+  131+   4+0.000000 
   26+   1+0.000000+  132+   4+0.000000 
   26+   1+0.000000+  133+   4+0.000000 
   26+   1+0.000000+  134+   4+0.000000 
   26+   1+0.000000+  135+   4+0.000000 
   26+   1+0.000000+  136+   4+0.000000 
   26+   1+0.000000+  137+   4+0.000000 
   26+   1+0.000000+  138+   4+0.000000 
   26+   1+0.000000+  139+   4+0.000000 
   26+   1+0.000000+  140+   4+0.000000 
   26+   1+0.000000+  141+   4+0.000000 
   26+   1+0.000000+  142+   4+0.000000 
   26+   1+0.000000+  143+   4+0.000000 
   26+   1+0.000000+  144+   4+0.000000 
   26+   1+0.000000+  145+   4+0.000000 
   26+   1+0.000000+  146+   4+0.000000 
   26+   1+0.000000+  147+   4+0.000000 
   26+   1+0.000000+  148+   4+0.000000 
   26+   1+0.000000+  149+   4+0.000000 
   26+   1+0.000000+  150+   4+0.000000 
   26+   1+0.000000+  151+   4+0.000000 
   26+   1+0.000000+  152+   4+0.000000 
   26+   1+0.000000+  153+   4+0.000000 
   26+   1+0.000000+  154+   4+0.000000 
   26+   1+0.000000+  155+   4+0.000000 
   26+   1+0.000000+  156+   4+0.000000 
   26+   1+0.000000+  157+   4+0.000000 
   26+   1+0.000000+  158+   4+0.000000 
   26+   1+0.000000+  159+   4+0.000000 
   26+   1+0.000000+  160+   4+0.000000 
   26+   1+0.000000+  161+   4+0.000000 
   26+   1+0.000000+  162+   4+0.000000 
   26+   1+0.000000+  163+   4+0.000000 
   26+   1+0.000000+  164+   4+0.000000 
   26+   1+0.000000+  165+   4+0.000000 
   26+   1+0.000000+  166+   4+0.000000 
   26+   1+0.000000+  167+   4+0.000000 
   26+   1+0.000000+  168+   4+0.000000 
   26+   1+0.000000+  169+   4+0.000000 
   26+   1+0.000000+  170+   4+0.000000 
   26+   1+0.000000+  171+   4+0.000000 
   26+   1+0.000000+  172+   4+0.000000 
   26+   1+0.000000+  173+   4+0.000000 
   26+   1+0.000000+  174+   4+0.000000 
   26+   1+0.000000+  175+   4+0.000000 
   26+   1+0.000000+  176+   4+0.000000 
   26+   1+0.000000+  177+   4+0.000000 
   26+   1+0.000000+  178+   4+0.000000 
   26+   1+0.000000+  179+   5+0.000000 
   26+   1+0.000000+  180+   5+0.000000 
   26+   1+0.000000+  181+   5+0.000000 
   26+   1+0.000000+  182+   5+0.000000 
   26+   1+0.000000+  183+   5+0.000000 
   26+   1+0.000000+  184+   5+0.000000 
   26+   1+0.000000+  185+   5+0.000000 
   26+   1+0.000000+  186+   5+0.000000 
   26+   1+0.000000+  187+   5+0.000000 
   26+   1+0.000000+  188+   5+0.000000 
   26+   1+0.000000+  189+   5+0.000000 
   26+   1+0.000000+  190+   5+0.000000 
   26+   1+0.000000+  191+   5+0.000000 
   26+   1+0.000000+  192+   5+0.000000 
   26+   1+0.000000+  193+   5+0.000000 
   26+   1+0.000000+  194+   5+0.000000 
   26+   1+0.000000+  195+   5+0.000000 
   26+   1+0.000000+  196+   5+0.000000 
   26+   1+0.000000+  197+   5+0.000000 
   26+   1+0.000000+  198+   5+0.000000 
   26+   1+0.000000+  199+   5+0.000000 
   26+   1+0.000000+  200+   5+0.000000 
   26+   1+0.000000+  201+   5+0.000000 
   26+   1+0.000000+  202+   5+0.000000 
   26+   1+0.000000+  203+   5+0.000000 
   26+   1+0.000000+  204+   5+0.000000 
   26+   1+0.000000+  205+   5+0.000000 
