    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.500000+    2+   1+0.500000 
    3+   1+0.333333+    3+   1+0.333333 
    4+   1+0.250000+    4+   1+0.250000 
    5+   1+0.200000+    5+   1+0.200000 
    6+   1+0.166667+    6+   1+0.166667 
    7+   1+0.142857+    6+   1+0.166667 
    8+   1+0.125000+    6+   1+0.166667 
    9+   1+0.111111+    6+   1+0.166667 
   10+   1+0.100000+    6+   1+0.166667 
   11+   2+0.181818+    6+   1+0.166667 
   12+   2+0.166667+    6+   1+0.166667 
   13+   2+0.153846+    6+   1+0.166667 
   14+   2+0.142857+    6+   1+0.166667 
   15+   2+0.133333+    6+   1+0.166667 
   16+   2+0.125000+    6+   1+0.166667 
   17+   2+0.117647+    6+   1+0.166667 
   18+   2+0.111111+    6+   1+0.166667 
   19+   2+0.105263+    6+   1+0.166667 
   20+   2+0.100000+    6+   1+0.166667 
   21+   2+0.095238+    6+   1+0.166667 
   22+   2+0.090909+    6+   1+0.166667 
   23+   2+0.086957+    6+   1+0.166667 
   24+   3+0.125000+    6+   1+0.166667 
   25+   3+0.120000+    6+   1+0.166667 
   26+   3+0.115385+    6+   1+0.166667 
   27+   3+0.111111+    6+   1+0.166667 
   28+   3+0.107143+    6+   1+0.166667 
   29+   3+0.103448+    6+   1+0.166667 
   30+   3+0.100000+    6+   1+0.166667 
   31+   3+0.096774+    6+   1+0.166667 
   32+   3+0.093750+    6+   1+0.166667 
   33+   3+0.090909+    6+   1+0.166667 
   34+   3+0.088235+    6+   1+0.166667 
   35+   3+0.085714+    6+   1+0.166667 
   36+   3+0.083333+    6+   1+0.166667 
   37+   3+0.081081+    6+   1+0.166667 
   38+   3+0.078947+    6+   1+0.166667 
   39+   3+0.076923+    6+   1+0.166667 
   40+   3+0.075000+    6+   1+0.166667 
   41+   3+0.073171+    6+   1+0.166667 
   42+   3+0.071429+    6+   1+0.166667 
   43+   3+0.069767+    6+   1+0.166667 
   44+   3+0.068182+    6+   1+0.166667 
   45+   3+0.066667+    6+   1+0.166667 
   46+   3+0.065217+    6+   1+0.166667 
   47+   3+0.063830+    6+   1+0.166667 
   48+   3+0.062500+    6+   1+0.166667 
   49+   3+0.061224+    6+   1+0.166667 
   50+   3+0.060000+    6+   1+0.166667 
   51+   3+0.058824+    6+   1+0.166667 
   52+   3+0.057692+    6+   1+0.166667 
