    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.500000+    2+   1+0.500000 
    3+   1+0.333333+    3+   1+0.333333 
    4+   1+0.250000+    4+   1+0.250000 
    5+   1+0.200000+    5+   1+0.200000 
    6+   1+0.166667+    6+   1+0.166667 
    6+   1+0.166667+    7+   1+0.142857 
    6+   1+0.166667+    8+   1+0.125000 
    6+   1+0.166667+    9+   1+0.111111 
    6+   1+0.166667+   10+   1+0.100000 
    6+   1+0.166667+   11+   1+0.090909 
    6+   1+0.166667+   12+   1+0.083333 
    6+   1+0.166667+   13+   1+0.076923 
    6+   1+0.166667+   14+   1+0.071429 
    6+   1+0.166667+   15+   1+0.066667 
    6+   1+0.166667+   16+   1+0.062500 
    6+   1+0.166667+   17+   1+0.058824 
    6+   1+0.166667+   18+   1+0.055556 
    6+   1+0.166667+   19+   1+0.052632 
    6+   1+0.166667+   20+   1+0.050000 
    6+   1+0.166667+   21+   1+0.047619 
    6+   1+0.166667+   22+   1+0.045455 
    6+   1+0.166667+   23+   1+0.043478 
    6+   1+0.166667+   24+   1+0.041667 
    6+   1+0.166667+   25+   1+0.040000 
    6+   1+0.166667+   26+   1+0.038462 
    6+   1+0.166667+   27+   1+0.037037 
    6+   1+0.166667+   28+   1+0.035714 
    6+   1+0.166667+   29+   1+0.034483 
    6+   1+0.166667+   30+   1+0.033333 
    6+   1+0.166667+   31+   1+0.032258 
    6+   1+0.166667+   32+   1+0.031250 
    6+   1+0.166667+   33+   1+0.030303 
    6+   1+0.166667+   34+   1+0.029412 
    6+   1+0.166667+   35+   1+0.028571 
    6+   1+0.166667+   36+   1+0.027778 
    6+   1+0.166667+   37+   1+0.027027 
    6+   1+0.166667+   38+   1+0.026316 
    6+   1+0.166667+   39+   1+0.025641 
    6+   1+0.166667+   40+   1+0.025000 
    6+   1+0.166667+   41+   1+0.024390 
    6+   1+0.166667+   42+   1+0.023810 
    6+   1+0.166667+   43+   1+0.023256 
    6+   1+0.166667+   44+   1+0.022727 
    6+   1+0.166667+   45+   1+0.022222 
    6+   1+0.166667+   46+   1+0.021739 
    6+   1+0.166667+   47+   1+0.021277 
    6+   1+0.166667+   48+   1+0.020833 
    6+   1+0.166667+   49+   1+0.020408 
    6+   1+0.166667+   50+   1+0.020000 
    6+   1+0.166667+   51+   1+0.019608 
    6+   1+0.166667+   52+   1+0.019231 
    6+   1+0.166667+   53+   1+0.018868 
    6+   1+0.166667+   54+   1+0.018519 
    6+   1+0.166667+   55+   1+0.018182 
    6+   1+0.166667+   56+   1+0.017857 
    6+   1+0.166667+   57+   1+0.017544 
    6+   1+0.166667+   58+   1+0.017241 
    6+   1+0.166667+   59+   1+0.016949 
    6+   1+0.166667+   60+   1+0.016667 
    6+   1+0.166667+   61+   1+0.016393 
    6+   1+0.166667+   62+   1+0.016129 
    6+   1+0.166667+   63+   2+0.031746 
    6+   1+0.166667+   64+   2+0.031250 
    6+   1+0.166667+   65+   2+0.030769 
    6+   1+0.166667+   66+   2+0.030303 
    6+   1+0.166667+   67+   2+0.029851 
    6+   1+0.166667+   68+   2+0.029412 
    6+   1+0.166667+   69+   2+0.028986 
    6+   1+0.166667+   70+   2+0.028571 
    6+   1+0.166667+   71+   2+0.028169 
    6+   1+0.166667+   72+   2+0.027778 
    6+   1+0.166667+   73+   2+0.027397 
    6+   1+0.166667+   74+   2+0.027027 
    6+   1+0.166667+   75+   2+0.026667 
    6+   1+0.166667+   76+   2+0.026316 
    6+   1+0.166667+   77+   2+0.025974 
    6+   1+0.166667+   78+   2+0.025641 
    6+   1+0.166667+   79+   2+0.025316 
    6+   1+0.166667+   80+   2+0.025000 
    6+   1+0.166667+   81+   2+0.024691 
    6+   1+0.166667+   82+   2+0.024390 
    6+   1+0.166667+   83+   2+0.024096 
    6+   1+0.166667+   84+   2+0.023810 
    6+   1+0.166667+   85+   2+0.023529 
    6+   1+0.166667+   86+   2+0.023256 
    6+   1+0.166667+   87+   2+0.022989 
    6+   1+0.166667+   88+   2+0.022727 
    6+   1+0.166667+   89+   2+0.022472 
    6+   1+0.166667+   90+   2+0.022222 
    6+   1+0.166667+   91+   2+0.021978 
    6+   1+0.166667+   91+   2+0.021978 
    6+   1+0.166667+   91+   2+0.021978 
