    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.500000+    2+   1+0.500000 
    3+   1+0.333333+    3+   1+0.333333 
    4+   1+0.250000+    4+   1+0.250000 
    5+   1+0.200000+    5+   1+0.200000 
    6+   1+0.166667+    6+   1+0.166667 
    7+   1+0.142857+    7+   1+0.142857 
    8+   1+0.125000+    8+   1+0.125000 
    9+   1+0.111111+    9+   1+0.111111 
   10+   1+0.100000+   10+   1+0.100000 
   11+   1+0.090909+   11+   1+0.090909 
   12+   1+0.083333+   12+   1+0.083333 
   13+   1+0.076923+   13+   1+0.076923 
   14+   1+0.071429+   14+   1+0.071429 
   15+   1+0.066667+   14+   1+0.071429 
   16+   1+0.062500+   14+   1+0.071429 
   17+   1+0.058824+   14+   1+0.071429 
   18+   1+0.055556+   14+   1+0.071429 
   19+   1+0.052632+   14+   1+0.071429 
   20+   1+0.050000+   14+   1+0.071429 
   21+   1+0.047619+   14+   1+0.071429 
   22+   1+0.045455+   14+   1+0.071429 
   23+   1+0.043478+   14+   1+0.071429 
   24+   1+0.041667+   14+   1+0.071429 
   25+   1+0.040000+   14+   1+0.071429 
   26+   1+0.038462+   14+   1+0.071429 
   27+   1+0.037037+   14+   1+0.071429 
   28+   1+0.035714+   14+   1+0.071429 
   29+   1+0.034483+   14+   1+0.071429 
   30+   1+0.033333+   14+   1+0.071429 
   31+   1+0.032258+   14+   1+0.071429 
   32+   1+0.031250+   14+   1+0.071429 
   33+   1+0.030303+   14+   1+0.071429 
   34+   1+0.029412+   14+   1+0.071429 
   35+   1+0.028571+   14+   1+0.071429 
   36+   1+0.027778+   14+   1+0.071429 
   37+   1+0.027027+   14+   1+0.071429 
   38+   1+0.026316+   14+   1+0.071429 
   39+   1+0.025641+   14+   1+0.071429 
   40+   1+0.025000+   14+   1+0.071429 
   41+   1+0.024390+   14+   1+0.071429 
   42+   1+0.023810+   14+   1+0.071429 
   43+   1+0.023256+   14+   1+0.071429 
   44+   1+0.022727+   14+   1+0.071429 
   45+   1+0.022222+   14+   1+0.071429 
   46+   1+0.021739+   14+   1+0.071429 
   47+   1+0.021277+   14+   1+0.071429 
   48+   1+0.020833+   14+   1+0.071429 
   49+   1+0.020408+   14+   1+0.071429 
   50+   1+0.020000+   14+   1+0.071429 
   51+   1+0.019608+   14+   1+0.071429 
   52+   1+0.019231+   14+   1+0.071429 
