    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.000000+    2+   1+0.000000 
    3+   1+0.000000+    3+   1+0.000000 
    4+   1+0.000000+    4+   1+0.000000 
    5+   1+0.000000+    5+   1+0.000000 
    6+   1+0.000000+    6+   1+0.000000 
    7+   1+0.000000+    7+   1+0.000000 
    8+   1+0.000000+    8+   1+0.000000 
    9+   1+0.000000+    9+   1+0.000000 
   10+   1+0.000000+   10+   1+0.000000 
   11+   1+0.000000+   11+   1+0.000000 
   12+   1+0.000000+   12+   1+0.000000 
   13+   1+0.000000+   13+   1+0.000000 
   14+   2+0.000000+   14+   1+0.000000 
   15+   2+0.000000+   15+   1+0.000000 
   16+   2+0.000000+   15+   1+0.000000 
   17+   2+0.000000+   15+   1+0.000000 
   18+   2+0.000000+   15+   1+0.000000 
   19+   2+0.000000+   15+   1+0.000000 
   20+   2+0.000000+   15+   1+0.000000 
   21+   2+0.000000+   15+   1+0.000000 
   22+   2+0.000000+   15+   1+0.000000 
   23+   2+0.000000+   15+   1+0.000000 
   24+   2+0.000000+   15+   1+0.000000 
   25+   2+0.000000+   15+   1+0.000000 
   26+   2+0.000000+   15+   1+0.000000 
   27+   2+0.000000+   15+   1+0.000000 
   28+   2+0.000000+   15+   1+0.000000 
   29+   2+0.000000+   15+   1+0.000000 
   30+   2+0.000000+   15+   1+0.000000 
   31+   2+0.000000+   15+   1+0.000000 
   32+   2+0.000000+   15+   1+0.000000 
   33+   2+0.000000+   15+   1+0.000000 
   34+   2+0.000000+   15+   1+0.000000 
   35+   2+0.000000+   15+   1+0.000000 
   36+   2+0.000000+   15+   1+0.000000 
   37+   2+0.000000+   15+   1+0.000000 
   38+   2+0.000000+   15+   1+0.000000 
   39+   2+0.000000+   15+   1+0.000000 
   40+   2+0.000000+   15+   1+0.000000 
   41+   2+0.000000+   15+   1+0.000000 
   42+   2+0.000000+   15+   1+0.000000 
   43+   2+0.000000+   15+   1+0.000000 
   44+   2+0.000000+   15+   1+0.000000 
   45+   3+0.000000+   15+   1+0.000000 
   46+   3+0.000000+   15+   1+0.000000 
   47+   3+0.000000+   15+   1+0.000000 
   48+   3+0.000000+   15+   1+0.000000 
   49+   3+0.000000+   15+   1+0.000000 
   50+   3+0.000000+   15+   1+0.000000 
   51+   3+0.000000+   15+   1+0.000000 
   52+   3+0.000000+   15+   1+0.000000 
   53+   3+0.000000+   15+   1+0.000000 
   54+   4+0.000000+   15+   1+0.000000 
   55+   4+0.000000+   15+   1+0.000000 
   56+   4+0.000000+   15+   1+0.000000 
   57+   4+0.000000+   15+   1+0.000000 
   58+   4+0.000000+   15+   1+0.000000 
   59+   4+0.000000+   15+   1+0.000000 
   60+   4+0.000000+   15+   1+0.000000 
   61+   4+0.000000+   15+   1+0.000000 
   62+   4+0.000000+   15+   1+0.000000 
   63+   4+0.000000+   15+   1+0.000000 
   64+   4+0.000000+   15+   1+0.000000 
   65+   4+0.000000+   15+   1+0.000000 
   66+   4+0.000000+   15+   1+0.000000 
   67+   4+0.000000+   15+   1+0.000000 
   68+   4+0.000000+   15+   1+0.000000 
   69+   4+0.000000+   15+   1+0.000000 
   70+   4+0.000000+   15+   1+0.000000 
   71+   4+0.000000+   15+   1+0.000000 
   72+   4+0.000000+   15+   1+0.000000 
   73+   4+0.000000+   15+   1+0.000000 
   74+   4+0.000000+   15+   1+0.000000 
   75+   4+0.000000+   15+   1+0.000000 
   76+   4+0.000000+   15+   1+0.000000 
   77+   4+0.000000+   15+   1+0.000000 
   78+   4+0.000000+   15+   1+0.000000 
   79+   4+0.000000+   15+   1+0.000000 
   80+   4+0.000000+   15+   1+0.000000 
   81+   4+0.000000+   15+   1+0.000000 
   82+   4+0.000000+   15+   1+0.000000 
   83+   4+0.000000+   15+   1+0.000000 
   84+   4+0.000000+   15+   1+0.000000 
   85+   4+0.000000+   15+   1+0.000000 
   86+   4+0.000000+   15+   1+0.000000 
   87+   4+0.000000+   15+   1+0.000000 
   88+   4+0.000000+   15+   1+0.000000 
   89+   4+0.000000+   15+   1+0.000000 
   90+   4+0.000000+   15+   1+0.000000 
   91+   4+0.000000+   15+   1+0.000000 
   92+   4+0.000000+   15+   1+0.000000 
   93+   4+0.000000+   15+   1+0.000000 
   94+   4+0.000000+   15+   1+0.000000 
   95+   4+0.000000+   15+   1+0.000000 
   96+   4+0.000000+   15+   1+0.000000 
   97+   4+0.000000+   15+   1+0.000000 
   98+   4+0.000000+   15+   1+0.000000 
   99+   4+0.000000+   15+   1+0.000000 
  100+   4+0.000000+   15+   1+0.000000 
  101+   4+0.000000+   15+   1+0.000000 
  102+   4+0.000000+   15+   1+0.000000 
  103+   4+0.000000+   15+   1+0.000000 
  104+   4+0.000000+   15+   1+0.000000 
  105+   4+0.000000+   15+   1+0.000000 
  106+   4+0.000000+   15+   1+0.000000 
  106+   4+0.000000+   15+   1+0.000000 
  106+   4+0.000000+   15+   1+0.000000 
