    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.000000+    2+   1+0.000000 
    3+   1+0.000000+    3+   1+0.000000 
    4+   1+0.000000+    4+   1+0.000000 
    5+   1+0.000000+    5+   1+0.000000 
    6+   1+0.000000+    6+   1+0.000000 
    7+   1+0.000000+    7+   1+0.000000 
    8+   1+0.000000+    8+   2+0.000000 
    9+   1+0.000000+    9+   2+0.000000 
   10+   1+0.000000+   10+   2+0.000000 
   11+   1+0.000000+   11+   2+0.000000 
   12+   1+0.000000+   12+   2+0.000000 
   13+   1+0.000000+   13+   2+0.000000 
   14+   1+0.000000+   14+   2+0.000000 
   15+   1+0.000000+   15+   2+0.000000 
   16+   1+0.000000+   16+   2+0.000000 
   17+   1+0.000000+   17+   2+0.000000 
   18+   1+0.000000+   18+   2+0.000000 
   19+   1+0.000000+   19+   3+0.000000 
   20+   1+0.000000+   20+   3+0.000000 
   21+   1+0.000000+   21+   3+0.000000 
   22+   1+0.000000+   22+   3+0.000000 
   23+   1+0.000000+   23+   3+0.000000 
   24+   1+0.000000+   24+   3+0.000000 
   25+   1+0.000000+   25+   3+0.000000 
   26+   1+0.000000+   26+   3+0.000000 
   27+   1+0.000000+   27+   3+0.000000 
   28+   1+0.000000+   28+   3+0.000000 
   29+   1+0.000000+   29+   3+0.000000 
   30+   1+0.000000+   30+   3+0.000000 
   31+   1+0.000000+   31+   3+0.000000 
   32+   1+0.000000+   32+   3+0.000000 
   33+   1+0.000000+   33+   3+0.000000 
   34+   1+0.000000+   34+   3+0.000000 
   35+   1+0.000000+   35+   3+0.000000 
   36+   1+0.000000+   36+   3+0.000000 
   37+   1+0.000000+   37+   3+0.000000 
   38+   1+0.000000+   38+   3+0.000000 
   39+   1+0.000000+   39+   3+0.000000 
   40+   2+0.000000+   40+   3+0.000000 
   41+   2+0.000000+   41+   3+0.000000 
   42+   2+0.000000+   42+   3+0.000000 
   43+   2+0.000000+   43+   3+0.000000 
   44+   2+0.000000+   44+   3+0.000000 
   45+   2+0.000000+   45+   4+0.000000 
   46+   2+0.000000+   46+   4+0.000000 
   47+   2+0.000000+   47+   4+0.000000 
   48+   2+0.000000+   48+   4+0.000000 
   49+   2+0.000000+   49+   4+0.000000 
   50+   2+0.000000+   50+   4+0.000000 
   51+   2+0.000000+   51+   4+0.000000 
   52+   3+0.000000+   52+   4+0.000000 
   53+   3+0.000000+   53+   4+0.000000 
   54+   3+0.000000+   54+   4+0.000000 
   55+   3+0.000000+   55+   4+0.000000 
   56+   3+0.000000+   56+   4+0.000000 
   57+   3+0.000000+   57+   5+0.000000 
   58+   3+0.000000+   58+   5+0.000000 
   59+   3+0.000000+   59+   5+0.000000 
   60+   3+0.000000+   60+   5+0.000000 
   61+   3+0.000000+   61+   5+0.000000 
   62+   3+0.000000+   62+   5+0.000000 
   63+   3+0.000000+   63+   5+0.000000 
   64+   3+0.000000+   64+   5+0.000000 
   65+   3+0.000000+   65+   5+0.000000 
   66+   3+0.000000+   66+   5+0.000000 
   67+   3+0.000000+   67+   5+0.000000 
   68+   3+0.000000+   68+   5+0.000000 
   69+   3+0.000000+   69+   6+0.000000 
   70+   3+0.000000+   70+   6+0.000000 
   71+   3+0.000000+   71+   6+0.000000 
   72+   3+0.000000+   72+   6+0.000000 
   73+   3+0.000000+   73+   6+0.000000 
   74+   3+0.000000+   74+   6+0.000000 
   75+   3+0.000000+   75+   6+0.000000 
   76+   4+0.000000+   76+   6+0.000000 
   77+   4+0.000000+   77+   6+0.000000 
   78+   4+0.000000+   78+   6+0.000000 
   79+   4+0.000000+   79+   6+0.000000 
   80+   4+0.000000+   80+   6+0.000000 
   81+   4+0.000000+   81+   6+0.000000 
   82+   4+0.000000+   82+   6+0.000000 
   83+   4+0.000000+   83+   6+0.000000 
   84+   4+0.000000+   84+   6+0.000000 
   85+   4+0.000000+   85+   6+0.000000 
   86+   4+0.000000+   86+   6+0.000000 
   86+   4+0.000000+   87+   6+0.000000 
   86+   4+0.000000+   88+   6+0.000000 
   86+   4+0.000000+   89+   6+0.000000 
   86+   4+0.000000+   90+   6+0.000000 
   86+   4+0.000000+   91+   6+0.000000 
   86+   4+0.000000+   92+   6+0.000000 
   86+   4+0.000000+   93+   6+0.000000 
   86+   4+0.000000+   94+   6+0.000000 
   86+   4+0.000000+   95+   6+0.000000 
   86+   4+0.000000+   96+   6+0.000000 
   86+   4+0.000000+   97+   6+0.000000 
   86+   4+0.000000+   98+   6+0.000000 
   86+   4+0.000000+   99+   6+0.000000 
   86+   4+0.000000+  100+   6+0.000000 
   86+   4+0.000000+  101+   6+0.000000 
   86+   4+0.000000+  102+   6+0.000000 
   86+   4+0.000000+  103+   6+0.000000 
   86+   4+0.000000+  104+   6+0.000000 
   86+   4+0.000000+  105+   6+0.000000 
   86+   4+0.000000+  106+   6+0.000000 
   86+   4+0.000000+  107+   6+0.000000 
   86+   4+0.000000+  108+   6+0.000000 
   86+   4+0.000000+  109+   6+0.000000 
   86+   4+0.000000+  110+   6+0.000000 
   86+   4+0.000000+  111+   6+0.000000 
   86+   4+0.000000+  112+   6+0.000000 
   86+   4+0.000000+  113+   6+0.000000 
   86+   4+0.000000+  114+   6+0.000000 
   86+   4+0.000000+  115+   6+0.000000 
   86+   4+0.000000+  116+   6+0.000000 
   86+   4+0.000000+  117+   6+0.000000 
   86+   4+0.000000+  118+   6+0.000000 
   86+   4+0.000000+  119+   6+0.000000 
   86+   4+0.000000+  120+   6+0.000000 
   86+   4+0.000000+  121+   6+0.000000 
   86+   4+0.000000+  122+   6+0.000000 
   86+   4+0.000000+  123+   6+0.000000 
   86+   4+0.000000+  124+   6+0.000000 
   86+   4+0.000000+  125+   6+0.000000 
   86+   4+0.000000+  126+   6+0.000000 
   86+   4+0.000000+  127+   6+0.000000 
   86+   4+0.000000+  128+   6+0.000000 
   86+   4+0.000000+  129+   6+0.000000 
   86+   4+0.000000+  130+   6+0.000000 
   86+   4+0.000000+  131+   6+0.000000 
   86+   4+0.000000+  132+   6+0.000000 
   86+   4+0.000000+  133+   6+0.000000 
   86+   4+0.000000+  134+   6+0.000000 
   86+   4+0.000000+  135+   6+0.000000 
   86+   4+0.000000+  136+   6+0.000000 
   86+   4+0.000000+  137+   6+0.000000 
   86+   4+0.000000+  138+   6+0.000000 
   86+   4+0.000000+  139+   6+0.000000 
   86+   4+0.000000+  140+   6+0.000000 
   86+   4+0.000000+  141+   6+0.000000 
   86+   4+0.000000+  142+   6+0.000000 
   86+   4+0.000000+  143+   6+0.000000 
   86+   4+0.000000+  144+   6+0.000000 
   86+   4+0.000000+  145+   6+0.000000 
   86+   4+0.000000+  146+   6+0.000000 
   86+   4+0.000000+  147+   6+0.000000 
   86+   4+0.000000+  148+   6+0.000000 
   86+   4+0.000000+  149+   6+0.000000 
   86+   4+0.000000+  150+   6+0.000000 
   86+   4+0.000000+  151+   6+0.000000 
   86+   4+0.000000+  152+   6+0.000000 
   86+   4+0.000000+  153+   6+0.000000 
   86+   4+0.000000+  154+   6+0.000000 
   86+   4+0.000000+  155+   6+0.000000 
   86+   4+0.000000+  156+   6+0.000000 
   86+   4+0.000000+  157+   6+0.000000 
   86+   4+0.000000+  158+   6+0.000000 
   86+   4+0.000000+  159+   6+0.000000 
   86+   4+0.000000+  160+   6+0.000000 
   86+   4+0.000000+  161+   6+0.000000 
   86+   4+0.000000+  162+   6+0.000000 
   86+   4+0.000000+  163+   6+0.000000 
   86+   4+0.000000+  164+   6+0.000000 
   86+   4+0.000000+  165+   6+0.000000 
   86+   4+0.000000+  166+   6+0.000000 
   86+   4+0.000000+  167+   6+0.000000 
   86+   4+0.000000+  168+   6+0.000000 
   86+   4+0.000000+  169+   6+0.000000 
   86+   4+0.000000+  170+   6+0.000000 
   86+   4+0.000000+  171+   6+0.000000 
   86+   4+0.000000+  172+   6+0.000000 
   86+   4+0.000000+  173+   6+0.000000 
   86+   4+0.000000+  174+   6+0.000000 
   86+   4+0.000000+  175+   6+0.000000 
   86+   4+0.000000+  176+   6+0.000000 
   86+   4+0.000000+  177+   6+0.000000 
   86+   4+0.000000+  178+   6+0.000000 
   86+   4+0.000000+  179+   6+0.000000 
   86+   4+0.000000+  180+   6+0.000000 
   86+   4+0.000000+  181+   6+0.000000 
   86+   4+0.000000+  182+   6+0.000000 
   86+   4+0.000000+  183+   6+0.000000 
   86+   4+0.000000+  184+   6+0.000000 
   86+   4+0.000000+  185+   6+0.000000 
   86+   4+0.000000+  186+   6+0.000000 
   86+   4+0.000000+  187+   6+0.000000 
   86+   4+0.000000+  188+   6+0.000000 
   86+   4+0.000000+  189+   6+0.000000 
   86+   4+0.000000+  190+   6+0.000000 
   86+   4+0.000000+  191+   6+0.000000 
   86+   4+0.000000+  192+   6+0.000000 
   86+   4+0.000000+  193+   6+0.000000 
   86+   4+0.000000+  194+   6+0.000000 
   86+   4+0.000000+  195+   6+0.000000 
   86+   4+0.000000+  196+   6+0.000000 
   86+   4+0.000000+  197+   6+0.000000 
   86+   4+0.000000+  198+   6+0.000000 
   86+   4+0.000000+  199+   6+0.000000 
   86+   4+0.000000+  200+   6+0.000000 
   86+   4+0.000000+  201+   6+0.000000 
   86+   4+0.000000+  202+   6+0.000000 
   86+   4+0.000000+  203+   6+0.000000 
   86+   4+0.000000+  204+   6+0.000000 
   86+   4+0.000000+  205+   6+0.000000 
