    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.500000+    2+   1+0.500000 
    3+   1+0.333333+    3+   1+0.333333 
    4+   1+0.250000+    4+   1+0.250000 
    5+   1+0.200000+    5+   1+0.200000 
    6+   1+0.166667+    6+   1+0.166667 
    7+   1+0.142857+    7+   1+0.142857 
    8+   1+0.125000+    8+   1+0.125000 
    9+   1+0.111111+    9+   1+0.111111 
   10+   1+0.100000+   10+   1+0.100000 
   11+   1+0.090909+   10+   1+0.100000 
   12+   1+0.083333+   10+   1+0.100000 
   13+   1+0.076923+   10+   1+0.100000 
   14+   2+0.142857+   10+   1+0.100000 
   15+   2+0.133333+   10+   1+0.100000 
   16+   2+0.125000+   10+   1+0.100000 
   17+   2+0.117647+   10+   1+0.100000 
   18+   2+0.111111+   10+   1+0.100000 
   19+   2+0.105263+   10+   1+0.100000 
   20+   2+0.100000+   10+   1+0.100000 
   21+   2+0.095238+   10+   1+0.100000 
   22+   2+0.090909+   10+   1+0.100000 
   23+   2+0.086957+   10+   1+0.100000 
   24+   2+0.083333+   10+   1+0.100000 
   25+   2+0.080000+   10+   1+0.100000 
   26+   2+0.076923+   10+   1+0.100000 
   27+   2+0.074074+   10+   1+0.100000 
   28+   2+0.071429+   10+   1+0.100000 
   29+   2+0.068966+   10+   1+0.100000 
   30+   2+0.066667+   10+   1+0.100000 
   31+   2+0.064516+   10+   1+0.100000 
   32+   2+0.062500+   10+   1+0.100000 
   33+   2+0.060606+   10+   1+0.100000 
   34+   2+0.058824+   10+   1+0.100000 
   35+   2+0.057143+   10+   1+0.100000 
   36+   2+0.055556+   10+   1+0.100000 
   37+   2+0.054054+   10+   1+0.100000 
   38+   2+0.052632+   10+   1+0.100000 
   39+   2+0.051282+   10+   1+0.100000 
   40+   2+0.050000+   10+   1+0.100000 
   41+   2+0.048780+   10+   1+0.100000 
   42+   2+0.047619+   10+   1+0.100000 
   43+   2+0.046512+   10+   1+0.100000 
   44+   2+0.045455+   10+   1+0.100000 
   45+   2+0.044444+   10+   1+0.100000 
   46+   2+0.043478+   10+   1+0.100000 
   47+   2+0.042553+   10+   1+0.100000 
   48+   2+0.041667+   10+   1+0.100000 
   49+   2+0.040816+   10+   1+0.100000 
   50+   2+0.040000+   10+   1+0.100000 
   51+   2+0.039216+   10+   1+0.100000 
   52+   2+0.038462+   10+   1+0.100000 
