    0+   0+0.000000+    0+   0+0.000000 
    1+   1+1.000000+    1+   1+1.000000 
    2+   1+0.500000+    2+   1+0.500000 
    3+   1+0.333333+    3+   1+0.333333 
    4+   1+0.250000+    4+   1+0.250000 
    5+   1+0.200000+    5+   1+0.200000 
    6+   1+0.166667+    6+   1+0.166667 
    7+   1+0.142857+    7+   1+0.142857 
    8+   1+0.125000+    7+   1+0.142857 
    9+   1+0.111111+    7+   1+0.142857 
   10+   1+0.100000+    7+   1+0.142857 
   11+   1+0.090909+    7+   1+0.142857 
   12+   1+0.083333+    7+   1+0.142857 
   13+   1+0.076923+    7+   1+0.142857 
   14+   1+0.071429+    7+   1+0.142857 
   15+   1+0.066667+    7+   1+0.142857 
   16+   1+0.062500+    7+   1+0.142857 
   17+   1+0.058824+    7+   1+0.142857 
   18+   1+0.055556+    7+   1+0.142857 
   19+   1+0.052632+    7+   1+0.142857 
   20+   2+0.100000+    7+   1+0.142857 
   21+   2+0.095238+    7+   1+0.142857 
   22+   2+0.090909+    7+   1+0.142857 
   23+   2+0.086957+    7+   1+0.142857 
   24+   2+0.083333+    7+   1+0.142857 
   25+   2+0.080000+    7+   1+0.142857 
   26+   2+0.076923+    7+   1+0.142857 
   27+   2+0.074074+    7+   1+0.142857 
   28+   2+0.071429+    7+   1+0.142857 
   29+   2+0.068966+    7+   1+0.142857 
   30+   2+0.066667+    7+   1+0.142857 
   31+   3+0.096774+    7+   1+0.142857 
   32+   3+0.093750+    7+   1+0.142857 
   33+   3+0.090909+    7+   1+0.142857 
   34+   3+0.088235+    7+   1+0.142857 
   35+   3+0.085714+    7+   1+0.142857 
   36+   3+0.083333+    7+   1+0.142857 
   37+   3+0.081081+    7+   1+0.142857 
   38+   3+0.078947+    7+   1+0.142857 
   39+   3+0.076923+    7+   1+0.142857 
   40+   3+0.075000+    7+   1+0.142857 
   41+   3+0.073171+    7+   1+0.142857 
   42+   3+0.071429+    7+   1+0.142857 
   43+   3+0.069767+    7+   1+0.142857 
   44+   3+0.068182+    7+   1+0.142857 
   45+   3+0.066667+    7+   1+0.142857 
   46+   3+0.065217+    7+   1+0.142857 
   47+   3+0.063830+    7+   1+0.142857 
   48+   3+0.062500+    7+   1+0.142857 
   49+   3+0.061224+    7+   1+0.142857 
   50+   3+0.060000+    7+   1+0.142857 
   51+   3+0.058824+    7+   1+0.142857 
   52+   4+0.076923+    7+   1+0.142857 
